essay_id	essay_title	essay_author	essay_schoool	essay_page	essay_type	essay_story	essay_image
1	그리고 모든 것이 변했다	아니타 무르자니	1	352	치유	암을 앓다가 죽음의 순간을 경험하고 돌아온 아니타 무르자니라는 여성이 ‘암, 임사 체험, 그리고 완전한 치유에 이르기까지의 여정’을 써 내려간 자전적 이야기. 어떻게 그리고 왜 암을 앓게 되었는지, 임사 체험 동안 무엇을 경험하고 어떤 것들을 깨달았는지, 임사 체험 후 어떻게 암이 완벽히 치유되었으며 이 세상으로 다시 돌아온 이유는 무엇인지를 진실한 언어로 감동적으로 들려준다.	./image/essay/그리고 모든 것이 변했다.png
2	내가 같이 뛰어내려 줄게	씨씨코	1	292	치유	삶에서 마주하는 갖가지 슬픔과 꿈을 향한 노력, 그리고 관계에서 겪는 희로애락을 씨씨코의 위트 있는 문장으로 표현했다. 그리고 그 문장을 찬찬히 따라가다 보면 한 가지 깨달음에 도달한다. 바로 ‘행복한 순간은 아직 안 왔다’라는 것. 세상은 딱딱한 룰을 강요하지만, 말랑말랑하게 사는 것 또한 삶의 원동력이 된다는 것.	./image/essay/내가 같이 뛰어내려 줄게.png
3	따스한 바람이 너에게 닿기를	이호동	0	160	치유	학교폭력으로 스스로 삶을 져버린 꽃들과 그 유가족분들을 위하여 썼습니다.오늘도 어딘가에서 홀로 힘겹게 하루하루를 버텨내는 여린 꽃들을 위하여 썼습니다. 제 글이 조금이나마 위로와 힘이 되기를 기도합니다.	./image/essay/따스한 바람이 너에게 닿기를.png
4	삶의 길 흰구름의 길	오쇼 라즈니쉬	0	420	치유	지금은 논쟁과 싸움의 시대이다. 사람들은 어떻게든 편을 갈라 상대편을 누르고 이기려고 한다. 논쟁은 현대사회에 꼭 필요하지만 그 방법에 있어 항상 문제가 된다. 상대편을 쓰러뜨려 아프게 하는 게 아니라 상대편과의 건전한 합의점을 찾아 상생하는 것이 최선의 해결책일 것이다.	./image/essay/삶의 길 흰구름의 길.png
5	반창고	윤호전,김대우,김영준	0	140	치유	20여 년간 기자, 변호사, 문화기획 보 전문가로 일해 온 세 사람이 인간관계가 짐이고 상처인 이들에게 보내는 치유의 메시지.	./image/essay/반창고.png
6	나는 너랑 노는 게 제일 좋아	하태완	0	292	사랑	이 책을 관통하는 단어는 ‘사랑’이다. 나 자신을 아껴주는 마음, 가장 가까운 누군가를 살피고 헤아려주는 마음, 나아가 애정의 범위를 넓혀 세상의 더 다양한 존재와 공존하는 마음까지 모든 형태의 사랑을 풀어낸다. 나를 어떻게 사랑해줘야 할지 모르고 상대방에게 진심을 표현하기 어려워 자주 후회하는 사람들. 그래도 괜찮다고 위로하듯, 수많은 이들이 품고 있던 속내를 그대로 옮긴 듯한 공감의 문장들이 이 책에 가득 담겼다.	./image/essay/나는 너랑 노는 게 제일 좋아.png
7	사랑하게 될 줄 알았어	천지혜	0	272	사랑	이 책은 우리를 성장하게 만드는 수없이 많은 사랑을 다루고 있다. 성애적인 사랑뿐만 아니라 자기애, 가족애, 우정, 동료애, 반려동물을 향한 사랑, 팬으로서의 애정 등등 형태도 유형도 대상도 각양각색이다. 하지만 요즘 세상에 ‘사랑’은 참 쉽지 않다. 사랑보다 중요한 것이 많고 사랑이 아니어도 되는 것이 많다. 하지만 저자는 그럼에도 불구하고 사랑은 계속되어야 한다고 말한다. 하루하루가 고되고 힘들수록 사랑을 포기해서는 안 된다고. 모든 걸 손에서 놓고 당장이라도 주저앉고 싶을 때, 이유도 없이 눈물을 쏟게 되는 그 순간에 필요한 가장 효과적인 처방이 바로 ‘사랑’이기 때문이다.	./image/essay/사랑하게 될 줄 알았어.png
8	너에게 사랑을 배운다	그림에다	0	224	사랑	이 책에서 저자는 엄마와 아빠가 아이를 위해 희생하는 것이 아니라, 서로에게 사랑하는 법을 배워 엄마로, 아빠로, 아이로 건강하게 성장하는 데 관심을 둔다. 부모의 바람에 아이가 얼마나 부응하고 있는지가 아니라 얼마나 제 역할을 열심히 하고 있는지, 부모가 무엇을 봐 주기를 바라는지 아는 것이 더 중요하다고 이야기하며 아이가 주는 사랑, 부모가 되지 않았다면 모를 뻔한 가슴 벅찬 사랑을 고스란히 담아 모두를 위로한다.	./image/essay/너에게 사랑을 배운다.png
9	외로운 건 싫은데 혼자 있고 싶어	우유곽	0	248	캐릭터	160만 공감을 얻은 화제의 인스타툰 ‘인프피 헤븐’이 단행본으로 출간됐다. 우유곽 작가는 MBTI 유형 중 오해와 편견을 양산해온 ‘INFP’의 내면을 숨김없이 그려내 수많은 인프피의 공감을 얻었다. “매번 제 마음속에 왔다 가시나요?” 인프피들이 마음을 나누는 성지가 되어, 그 화력에 힘입어 출간으로 이어지게 됐다. 이상한 줄 알았지만 전혀 이상한 게 아니었던 인프피들에게, 인프피답게 살아도 괜찮다고 용기를 불어넣는 책이다.	./image/essay/외로운 건 싫은데 혼자 있고 싶어.png
10	곰돌이 푸, 행복한 일은 매일 있어	곰돌이 푸	0	160	캐릭터	“기분이 우울해질 것 같아도 걱정하지 마. 그냥 배가 고픈 걸지도 몰라.” 팍팍한 현실 속에서 힘이 되어주는 것은 생각보다 간단한 말들이다. 쉽지만 어느 누구도 말해주지 않던, 그 따뜻하고 편안한 위안이 이 책의 장점이자 매력이다. 무엇이 나에게 행복을 줄 수 있는가 고민이라면 이 책을 펼쳐보자. '나'를 잃어가는 사회 속에서 진정한 나를 찾게 해주는 것은 물론, 앞으로의 '나'를 위한 행복을 발견하게 될 것이다.	./image/essay/곰돌이 푸, 행복한 일은 매일 있어.png
