improve_id	improve_title	improve_author	improve_schoool	improve_page	improve_type	improve_story	improve_image
1	리더란 무엇인가	한근태	0	224	능력	저자가 ‘리더십 뷔페’와 같다고 표현한 이 책은 다양한 리더십을 자신이 놓인 상황에 맞게 골라 적용할 수 있도록 도와주는 백서와 같은 책이다. 이 책을 통해 현재 자신의 리더십을 되돌아보고 최고의 리더들이 가진 사고방식부터 훌륭한 리더가 지향해야 하는 점까지 습득함으로써 리더십의 외연을 확장할 수 있다.	./image/improve/리더란 무엇인가.png
2	부의 메커니즘	안규호	1	220	능력	이 책에서는 대한민국에서 큰돈을 벌고 있는 상위 0.1% 영업인들의 이야기를 통해, 그들이 어떻게 바닥에서 정상까지 올라왔는지, 그리고 그들이 어떻게 ‘가난의 메커니즘’에서 벗어나, ‘부의 메커니즘’을 이해하고 ‘부자’로 살아가고 있는지에 대한 진솔한 이야기와 방법을 다루고 있다. 이 책을 읽은 여러분들은 더 이상 돈 ‘ 때문에’ 눈살을 찌푸리며, 불행해지지 않고, 돈 ‘덕분에’ 함박웃음을 짓고, 행복해질 것이다. 단언컨대, 부의 메커니즘만 이해한다면 당신도 반드시 ‘부자’가 될 수 있다.	./image/improve/부의 메커니즘.png
3	태도가 능력이다	김정진	1	320	능력	다양한 사람들이 다양한 영역에서 보여준 태도와 행동을 소개하는 이야기로 구성된 책이다. 매월 한 가지씩 12개의 큰 주제 아래 매일 하나씩 읽을 수 있는 이야기를 담고 있다.  이야기마다 자신의 삶을 비추어 보는 질문을 마련해, 이런 질문에 대해 생각해 보고 이야기하고 실천해 봄으로써 삶을 변화시켜나갈 수 있도록 도와준다.	./image/improve/태도가 능력이다.png
4	무브 업	성일레인	0	252	능력	이 책은 LG유플러스 최연소 커리어 전문가가 제안하는 커리어 변화구를 만드는 6가지 법칙을 담고 있다. 안정보다는 변화, 순행보다는 역행, 남의 눈치보다는 자기중심으로, 커리어를 쟁취해 온 저자가 일터에서 시행착오를 거듭하며 체득한 현실 조언을 상세하고 친절하게 책에 담았다. 독자들은 이 책을 통해 남을 위해 일하는 것이 아니라 일의 주도권을 찾아 비약적으로 성장할 수 있는 노하우를 알 수 있다.	./image/improve/무브 업.png
5	몰입	황농문	0	290	능력	이 책의 저자 황농문 교수는 30년 가까이 공학연구에 몸담아 온 공학자며 ‘하전된 나노 입자 이론’으로 최우수논문상을 수상한 과학자다. 1990년부터 몰입적 사고를 하며 연구를 수행했고 그때의 경험이 그의 삶을 180°바꿔 놓았다. 저자는 몰입이 잠재된 우리의 두뇌 능력을 첨예하게 일깨워 능력을 극대화하고 삶의 만족도를 최고로 끌어올리는 방법이라고 이야기한다. 그리고 이 책에서 ‘왜 우리가 몰입적 사고를 해야 하는지’ ‘어떻게 몰입으로 천재성을 끄집어낼 수 있는지’에 대해 구체적인 해답을 제시한다.	./image/improve/몰입.png
6	나는 어떻게 삶의 해답을 찾는가	고명환	0	264	성공	저자는 목표에 이르기 위한 낙타-사자-어린아이 3단계 삶의 실천법을 구체적인 책 읽기 방법과 함께 담아냈다. 이제 막 책 읽기를 시작한 이들(낙타 단계)을 위해서는 아침 1분 뇌를 속이는 뇌속임 독서법을, 스스로 필요한 책을 고를 수 있는 단계에 오른 이들(사자 단계)에게는 여러 권의 책을 10쪽씩만 읽는 10쪽 독서법을, 비로소 자유로운 삶을 시작한 이들에게는(어린아이 단계) 두고두고 읽을 50권의 장서 컬렉션 만드는 법을 알려준다.	./image/improve/나는 어떻게 삶의 해답을 찾는가.png
7	세이노의 가르침	세이노	1	736	성공	순자산 천억 원대 자산가, 세이노의 ‘요즘 생각’을 만나다 2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 《세이노의 가르침》이 드디어 전국 서점에서 독자들을 마주한다. 여러 판본을 모으고 저자의 확인을 거쳐 최근 생각을 추가로 수록하였다. 정식 출간본에만 추가로 수록된 글들은 목차와 본문에 별도 표시하였다.	./image/improve/세이노의 가르침.png
8	사람은 생각하는 대로 된다	얼 나이팅게일	0	308	성공	이 책은 부와 성공을 얻는 방법을 쉽고 자세하게 설명해준다. 그래서인지 미국의 대통령, 영국의 엘리자베스 여왕이 얼 나이팅게일의 철학을 듣기 위해 그와 시간을 보내기도 할 만큼 사람들의 마음을 사로잡았을 뿐 아니라 출간된 지 오랜 시간이 흐른 지금까지도 많은 사람의 사랑을 받고 있다.	./image/improve/사람은 생각하는 대로 된다.png
9	원씽	게리 켈러,제이 파파산	1	208	성공	저자는 자신에게 가장 중요한 한 가지, ‘원씽’을 찾아 집중하고 파고들라고 제안한다. 우리의 삶을 소모시키는 멀티스태킹을 비롯한 성공에 대한 거짓신화를 바로잡고, ‘원씽’의 일을 찾아 집중하는 법, 그리고 ‘원씽’을 찾기 위해 스스로 어떤 질문을 해야 하며, 이를 어떻게 습관화하고 삶의 부분에 적용할 수 있는지를 알려준다.	./image/improve/원씽.png
10	오타니 쇼헤이의 쇼타임	고마다 미츠오	0	244	성공	오타니 쇼헤이의 쇼타임은 ‘쇼타임’의 중의적인 의미를 모두 담았다. 오타니가 경기에서 뛰는 시간은 그의 팀을 승리로 이끄는 최고의 타이밍임은 물론 그의 팬들과 오타니 자신에게도 인생 최고의 시기일 것이다. 전 세계의 오타니 팬들은 지금 그의 활약을 동경하는 동시에 인간 오타니의 됨됨이와 인성, 매력에 환호한다. 완전무결해 보이는 오타니, 그는 어쩌다 반박불가 불세출의 월드스타가 되었을까. 오타니처럼 이루고, 나아가는 법을 이 책에서 확인할 수 있다.	./image/improve/오타니 쇼헤이의 쇼타임.png
