major_id	major_title	major_author	major_schoool	major_page	major_type	major_story	major_image
1	김락희의 인체 드로잉	김락희	0	304	디자인	김락희의 인체 드로잉으로 화제가 되어 10만 부 판매 기록, 예술분야 베스트셀러 작가인 김락희가 선화 드로잉으로 독자의 곁을 찾아왔다.김락희의 인체 드로잉이 드로잉 입문자를 위한 인체 해부학 입문서로서 전반적인 동세를 다루었다면, 선화 드로잉은 선화를 통해 다양한 각도와 움직임에서의 인체를 이해할 수 있도록 도형화를 비롯하여 간단한 해부학, 실사체 드로잉 자료들로 구성되어 있다.	./image/major/김락희의 인체 드로잉.png
2	방구석 미술관	조원재	0	344	디자인	“미술은 누구나 쉽고 재밌게 가지고 놀 수 있는 장난감”이라는 모토 아래, 멀게만 느껴졌던 화가들을 인간미 넘치는 ‘형’과 ‘누나’로 만드는 작가 조원재의 재기발랄한 스토리텔링에 있을 것이다. 〈절규〉의 화가 뭉크가 평균 수명을 높인 장수의 아이콘이 된 사연, ‘영혼의 화가’ 반 고흐가 악마에게 영혼을 빼앗긴 속사정, 그림은 아는데 이름은 모르는 마네가 미술계 거장들의 ‘갓파더’인 이유, 20세기가 낳은 최고의 화가 피카소가 선배 미술을 훔치며 ‘노상강도’라는 소리를 듣게 된 까닭까지, 저자의 특유의 재치 넘치는 입담으로 예술가들의 사생활은 물론 명화의 숨은 뒷얘기까지 탈탈 털어놓는다.	./image/major/방구석 미술관.png
3	(디자이너를 위한)디자인 혁명	데이비드 B.버먼	1	232	디자인	그래픽디자이너는 정보와 이해 사이에 다리를 놓고, 산업디자이너는 물건에 유용성과 매력을 집어넣으며, 인테리어디자이너는 우리가 사는 곳을 꾸민다. 우리가 보고, 쓰고, 버리는 것을 만들어내는 일을 하는 사람들이 바로 디자이너들인 것이다. 디자인 전략 컨설턴트인 저자, 데이비드 B.버먼은『디자이너를 위한 디자인 혁명』을 통해 디자이너라는 직업에는 본질적으로 사회적인 책임이 있다고 말한다. 전 세계의 소비자들에게 제조된 욕구를 충족시키라고 설득하는 역할을 해온 디자이너들에게 디자인 현장과 디자인 소비, 양쪽 부문에 지속가능한 접근법을 제시하며, '좋은 디자인을 하라'고 조언한다.	./image/major/(디자이너를 위한)디자인 혁명.png
4	매일 일러스트	김옥	1	266	디자인	손그림을 부담 없이 쉽게 따라 그려볼 수 있도록 하였습니다. 편지를 쓰거나 다이어리를 꾸밀 때 활용할 수 있도록 생활밀착형 주제들을 세분화하여 구성하였고, 파트마다 행운을 부르는 상징 드로잉도 넣어 주어 재미를 더하였습니다.	./image/major/매일 일러스트.png
5	미학과 미술	박일호	1	264	디자인	원시 시대 미술부터 포스트모더니즘이라 일컫는 현재의 미술에 이르기까지 방대한 양의 서양 미술을 미학의 흐름과 역사 속에서 조망하는 『미학과 미술』. 저자의 오랜 강의 경험을 바탕으로 서양 미술과 미학의 커다란 윤곽을 볼 수 있도록 안내하며, 다양한 작품들을 예로 들어 예술의 의미와 개념이 시대에 따라 변화하는 과정을 상세하게 소개한 책이다.	./image/major/미학과 미술.png
6	프론트엔드 개발 첫걸음	하라 카즈히로	1	384	프론트엔드	이 책은 풍부한 UI를 구축할 수 있는 자바스크립트로 만든 프론트엔드 프레임워크로 React, Angular, Vue.js, React Native를 다룬다. 또한 iOS와 Android용 네이티브 응용 프로그램을 만들 수 있다.슬랙(Slack) 스타일의 채팅 애플리케이션을 각각의 프레임워크로 만들어보는 과정으로 이루어져 있으며, 이를 위해 먼저 API 서버를 만들어보는 과정을 앞에 추가하였고  모바일 애플리케이션 개발도 배워볼 수 있다.	./image/major/프론트엔드 개발 첫걸음.png
7	자바스크립트+제이쿼리입문	정인용	1	400	프론트엔드	두잇 시리즈 최고 작품’이라 평가받은 책! 전면 개정판으로 더욱 알차게 만들었습니다! 이제는 웹 개발자뿐만 아니라 웹 퍼블리셔와 디자이너에게도 코딩 능력이 필요한 시대! 자바스크립트를 1도 모르겠다면? 프런트엔드 실무 교육 경력 10년 강사가 엄선한 155개의 예제로 기본부터 실무 활용까지 완벽하게 대비하세요. 실제 사이트에 적용하는 ‘반응형 웹 UI 만들기’까지 실습하고 나면 실무가 두렵지 않은 자신을 발견할 수 있을 것입니다!	./image/major/자바스크립트+제이쿼리입문.png
8	개발자의 글쓰기	김철수	0	276	프론트엔드	개발자의 글쓰기 능력을 종합적으로 향상하기 위한 책이다. 코드 안에서는 함수와 변수 이름을 짓는 것부터 주석 쓰는 법, 에러 메시지 쓰는 법까지 알려준다. 코드 밖에서는 릴리스 노트, 장애 보고서, 개발 가이드를 어떻게 하면 잘 쓸 수 있는지를 알려준다. 외주 개발을 하는 개발자를 위해 SI 제안서의 기술 부문을 설득력 있게 쓰는 법도 놓치지 않았다.	./image/major/개발자의 글쓰기.png
9	자바스크립트 코딩의 기술	조 모건	0	392	프론트엔드	이 책의 목표는 두 가지다. 첫째, 모던 자바스크립트를 배운다. 둘째, 배운 문법으로 더 나은 코드를 작성한다. 두 가지 목표를 달성하기 위해서는 자바스크립트에 대한 깊은 이해가 반드시 필요하다. 그래서 이 책은 영향이 크고 반복해서 사용할 핵심 문법 위주로 설명하면서, 모던 자바스크립트의 지향점을 이해하는 데 집중한다.	./image/major/자바스크립트 코딩의 기술.png
10	모던자바스크립트	이웅모	1	956	프론트엔드	모던 자바스크립트 Deep Dive》에서는 자바스크립트를 둘러싼 기본 개념을 정확하고 구체적으로 설명하고, 자바스크립트 코드의 동작 원리를 집요하게 파헤칩니다. 따라서 여러분이 작성한 코드가 컴퓨터 내부에서 어떻게 동작할 것인지 예측하고, 명확히 설명할 수 있도록 돕습니다. 또한 최신 자바스크립트 명세를 반영해 안정적이고 효율적인 코드를 작성할 수 있는 기본기를 다지고, 실전에서 쓰이는 모던 자바스크립트 프레임워크나 도구를 완벽하게 이해하고 활용할 수 있게 도와줍니다.	./image/major/모던자바스크립트.png
