novel_id	novel_title	novel_author	novel_schoool	novel_page	novel_type	novel_story	novel_image
1	하얼빈	김훈	1	307	역사	『하얼빈』에서는 단순하게 요약되기 쉬운 실존 인물의 삶을 역사적 기록보다도 철저한 상상으로 탄탄하게 재구성하는 김훈의 글쓰기 방식이 빛을 발한다. 이러한 서사는 자연스럽게 김훈의 대표작 『칼의 노래』를 떠올리게 하는데, 『칼의 노래』가 명장으로서 이룩한 업적에 가려졌던 이순신의 요동하는 내면을 묘사했다면 하얼빈은 안중근에게 드리워져 있던 영웅의 그늘을 걷어내고 그의 가장 뜨겁고 혼란스러웠을 시간을 현재에 되살려놓는다.	./image/novel/하얼빈.png
2	제주도우다	한가영	0	1104	역사	4·3을 입 밖으로 내는 게 금기시됐던 군부독재 시절, 무고한 양민들이 학살된 4·3의 진실을 담은 「순이 삼촌」을 발표하면서 제주 4·3의 비극을 널리 알린 소설가 현기영. 그가 제주와 한반도 현대사의 뿌리가 담긴 필생의 역작 『제주도우다』를 선보인다. 4·3의 비극으로부터 살아남은 자 안창세의 목소리로 젊은 세대에게 들려주는 이야기 『제주도우다』는 일제강점기부터 4·3에 이르기까지, 현재 한국사회 갈등 지형의 연원을 들여다볼 수 있는 제주의 근현대사를 시대의 흐름에 따라 총체적으로 다룬 대하소설로, 역사적 비극을 끈질기고도 강렬한 필력으로 보여준다.	./image/novel/제주도우다.png
3	소년이 온다	한강	1	216	역사	1980년 5월 18일부터 열흘간 있었던 광주민주화운동 당시의 상황과 그 이후 남겨진 사람들의 이야기를 들려주는 소설이다.  철저한 고증과 취재를 통해 저자 특유의 정교하고도 밀도 있는 문장으로 계엄군에 맞서 싸우다 죽음을 맞게 된 중학생 동호와 주변 인물들의 고통 받는 내면을 생생하게 그려냈다. 중학교 3학년이던 소년 동호는 친구 정대의 죽음을 목격한 이후 도청 상무관에서 시신들을 관리하는 일을 돕게 된다. 매일같이 합동분향소가 있는 상무관으로 들어오는 시신들을 수습하며 주검들의 말 없는 혼을 위로하기 위해 초를 밝히던 그는 시신들 사이에서 친구 정대의 처참한 죽음을 떠올리며 괴로워한다.	./image/novel/소년이 온다.png
4	조선 정신과 의사 유세풍	이은소	0	416	역사	문화체육관광부와 한국콘텐츠진흥원이 주관하며 매년 1천여 편의 작품이 투고되는 국내 최고의 이야기 공모전, 대한민국 스토리 공모대전의 2016년 우수상 수상작 『조선 정신과 의사 유세풍』이 책으로 출간됐다. 조선 후기. 침을 잘못 놓아 사람이 죽자 그 정신적 외상으로 더는 침을 잡지 못하게 된 어느 내의원 의관이 시골로 낙향하여 사람의 마음을 돌보는 심의로 거듭나게 된다는 이야기다. 작품 안에서는 각각의 꼭지마다 곡절 있는 사연을 가진 병자들이 등장해 웃음과 감동의 서사가 펼쳐진다. 끊고 맺음이 뚜렷해 마치 한 편의 드라마를 보는 듯하다는 점도 매력적이다. 그러나 무엇보다도 눈길이 가는 것은, 사람에 대한 작가의 따뜻한 시선과 메시지다.	./image/novel/조선 정신과 의사 유세풍
5	거꾸로 읽는 세계사	유시민	1	404	역사	1988년 초판 출간 이후 스테디셀러로 굳건히 자리를 지켰던 유시민의 『거꾸로 읽는 세계사』가 절판 이후 새 얼굴로 출간됐다. ‘전면개정’이라는 수식이 무색할 정도로 30년 넘게 축적된 정보를 꼼꼼하게 보완하고, 사건에 대한 해석을 바꿨으며, 같은 문장 하나 두지 않고 고쳐 쓴 ‘새로운’ 책이다. 그럼에도 제목을 그대로 쓴 이유는 초판에서 보였던 ‘거꾸로 읽는 자세’를 전부 거둬내지는 않았기 때문이다. 세계를 보는 편향된 시각에 균형을 맞추려 했고, 여전히 소홀하게 취급받는 몇몇 사건도 비중 있게 다뤘다.	./image/novel/거꾸로 읽는 세계사.png
6	날개	이상	1	285	고전	자유분방한 형식과 역설의 재치, 독특한 난해함으로 한국문학을 새로운 경지로 이끈 이상의 작품 16편을 수록하였다. 저자의 첫 소설이자 자전소설로 인간 존재의 그 가치에 대한 질문을 담은 장편소설 ‘12월 12일’, 주인공의 일상을 의식의 흐름이라는 기법으로 묘사하며 작품 구성과 기교 측면에서 한 단계 올라섰다고 평가받는 ‘지도의 암실’, 저자의 소설 가운데 가장 대중적이면서도 여전히 문제작인 ‘날개’ 등의 작품을 통해 저자의 작품세계를 엿볼 수 있다.	./image/novel/날개.png
7	변신	프란트 카프카	1	152	고전	변신은 체코 출신의 유대인 소설가 프란츠 카프카의 개성 가득한 단편 세 작품이 수록되어 있다. 결혼을 앞두고 아버지에게 죽음을 선고받은 남자의 이야기 , 어느 날 아침 벌레로 변해 버린 남자와 그의 가족을 둘러싸고 벌어지는 갈등을 묘사한 , 눈보라를 헤치며 기이하고 신비한 왕진을 떠난 시골 의사의 고뇌를 담았다.	./image/novel/변신.png
8	빨간 머리 앤	루시 모드 몽고메리	0	512	고전	열한 살짜리 여자아이 앤이 에이번리 마을의 초록 지붕 집에 입양되어 마릴라와 매슈 남매와 가족이 되고, 에이번리 학교의 교사가 되고, 대학에 진학해 소설가라는 더 큰 꿈을 향해 나아가는 모습이 그려져 있다. 그 과정에서 앤은 매슈의 죽음으로 가족을 잃기도 하고, 건강이 악화된 마릴라 대신 초록 지붕 집의 가장이 되는 어려움에 부딪힌다. 그러나 좌절하지 않고, 어릴 적 꿈꾸었던 것처럼 에이번리 학교의 교사가 된다.	./image/novel/빨간 머리 앤.png
9	이방인	알베르 카뮈	0	208	고전	주인공 뫼르소는 양로원에 있던 어머니가 돌아가셨다는 전보를 받고 장례를 치르고 돌아온다. 바로 다음 날 평소에 호감을 갖고 있던 여자와 유쾌한 영화를 보고 해수욕을 즐기며 사랑을 나눈다. 아는 사람이 거의 없던 뫼르소는 같은 아파트에 사는 레몽과 친해지고, 레몽은 변심한 애인을 괴롭히려는 계획에 뫼르소를 동참하게 한다. 뫼르소는 레몽과 함께 해변으로 놀러 갔다가 레몽을 미행하던 아랍인들과 마주치는데, 그들과 싸움을 벌이고 그러던 중에 레몽이 다치게 된다. 뫼르소는 답답함을 해소하기 위해 산책을 나간다. 그곳에서 우연히 레몽을 찔렀던 아랍인과 만난 뫼르소는 그가 꺼내든 칼에 반사된 햇빛에 자극을 받아 자신도 모르게 지니고 있던 권총의 방아쇠를 당긴다. 뫼르소는 우발적 살인을 저지른 뒤 살인죄로 사형을 언도받는데, 변호사와 재판관, 사제 등 그를 돕고자 하는 누구도 그를 온전히 이해하지 못하고 ‘이방인’ 취급을 받는다.	./image/novel/이방인.png
10	햄릿	셰익스피어	0	222	고전 	셰익스피어가 창작한 4대 비극 중 가장 유명한 작품인 『햄릿』은 르네상스기의 흐름을 반영하는 시대정신의 산물입니다. 선과 악 사이에서 갈등하는 햄릿은 회의적 인간의 전형을 보여주며, 셰익스피어는 이를 통해 인간의 존재 이유를 물었습니다. 『햄릿』은 유효한 윤리적 질문을 던지며, 햄릿의 고뇌는 여전히 우리에게 질문을 던지고 있습니다. 이 책에서는 르네상스 시대의 극문학으로서 『햄릿』의 의의를 최대한 살린 행별 구성 또한 이야기합니다.	./image/novel/햄릿.png
